Name in Data,Cleaned Name,Values/Description,,,
School.Code,SchoolNumber,Integer of School (Unique),,,
EMH,EMH,"E(Elementary),M(Middle),H(High)",,,
School.Name,SchoolName,String of School Name,,,
District.Code,DistrictNumber,Integer of District,,,
District.Name,DistrictName,String of District Name,,,
EMH_combined,EMHcombined,"EM / MH/ EMH (Combination of E,M,H to show which grades this school has or empty if only one school)",,,
Dummy,AlternativeSchool,"1 - 2 (1 : Yes, 2 : No)",,,
Dummy.1,CharterOrOnline,NOT IMPORTANT,,,
Dummy.2,,,,,
Dummy.3,InitialPlanType,NOT IMPORTANT,,,
Dummy.4,FinalPlanType,NOT IMPORTANT,,,
Dummy.5,Notes,NOT IMPORTANT,,,
Dummy.6,EMH_2Lvl,NOT IMPORTANT,,,
Dummy.7,LT100Pnts,NOT IMPORTANT,,,
School_Grade,SchoolGrade,"1 - 13 (13 being A+, 1 being F)",,,
rank_tot,RankTotal,Total ranking out of all schools,,,
Overall_Ach_Grade,OverallAchievedGrade,"1 - 13 (13 being A+, 1 being F)",,,
read_ach_grade,ReadingAchievedGrade,"1 - 13 (13 being A+, 1 being F)",,,
math_ach_grade,MathAchievedGrade,"1 - 13 (13 being A+, 1 being F)",,,
Write_Ach_Grade,WritingAchievedGrade,"1 - 13 (13 being A+, 1 being F)",,,
Sci_Ach_Grade,ScienceAcheivedGrade,"1 - 13 (13 being A+, 1 being F)",,,
Overall_Weighted_Growth_Grade,OverallGrowthGrade,"1 - 13 (13 being A+, 1 being F)",,,
Read_Growth_Grade,ReadingGrowthGrade,"1 - 13 (13 being A+, 1 being F)",,,
Math_Growth_Grade,MathGrowthGrade,"1 - 13 (13 being A+, 1 being F)",,,
Write_Growth_Grade,WritingGrowthGrade,"1 - 13 (13 being A+, 1 being F)",,,
SPF_PS_IND_GRAD_RATE,GraduationRate,Percent,,,
rate_at.5_chng_ach,ProficiencyTrend,"1 - 3 (1 : Arrow Down, 2 : Arrow Flat, 3 : Arrow Up)",,,
rate_at.5_chng_growth,GrowthTrend,"1 - 3 (1 : Arrow Down, 2 : Arrow Flat, 3 : Arrow Up)",,,
pct_pts_chng_.5,OverallTrend,"1 - 3 (1 : Arrow Down, 2 : Arrow Flat, 3 : Arrow Up)",,,
eng_yn,ACTEnglish,"1 - 2 (1 : Yes, 2 : No)",,,
math_yn,ACTMath,"1 - 2 (1 : Yes, 2 : No)",,,
read_yn,ACTReading,"1 - 2 (1 : Yes, 2 : No)",,,
sci_yn,ACTScience,"1 - 2 (1 : Yes, 2 : No)",,,
TOTAL,TotalStudents,Number of students,,,
PCT_AmInd,PercentAmericanIndian,Decimal,,,
PCT_Asian,PercentAsian,Decimal,,,
PCT_Black,PercentBlack,Decimal,,,
PCT_hisp,PercentHispanic,Decimal,,,
PCT_White,PercentWhite,Decimal,,,
PCT_PI,PercentPacificIslander,Decimal,,,
PCT_2ormore,PercentTwoOrMoreRace,Decimal,,,
X..FREE.AND.REDUCED,PercentFreeOrReducedLunch,Percent,,,
Remediation_at_leastone_pct2010,RemediationRate,Percent,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
